github_url,exists,readme,readme_length,installation,CI,docs,fancy_docs,examples,requirements,setup
github.com/fred3m/scarlet,True,True,3330,False,True,True,True,True,True,False
github.com/gabrielacr/agnfitter,True,True,5082,True,False,False,False,True,False,False
github.com/galsim-developers/galsim,True,True,12757,True,True,True,False,True,True,False
github.com/gamer-project/gamer,True,True,141,False,False,True,False,True,False,False
github.com/garmilla/circumbinary,True,False,False,False,False,True,False,False,False,False
github.com/gausspy/gausspy,True,True,2892,True,True,True,True,False,True,False
github.com/gbrammer/eazy-photoz,True,True,4843,True,False,True,False,True,False,False
github.com/gbrammer/grizli,True,True,6044,True,True,True,True,True,True,False
github.com/gbrammer/threedhst,True,True,394,False,False,False,False,False,False,False
github.com/gbrammer/unicorn,True,True,584,True,False,False,False,False,False,False
github.com/gbrammer/wfc3,True,True,54,False,False,False,False,False,False,False
github.com/gcalderone/qsfit,True,True,7476,False,False,False,False,False,False,False
github.com/gdobler/mules,True,True,9,False,False,False,False,False,False,False
github.com/geminiutil/geminiutil,True,True,9409,False,False,True,False,True,True,False
github.com/georgestein/limlam,False,False,False,False,False,False,False,False,False,False
github.com/giacomov/gtburst,True,True,338,False,False,True,False,False,False,False
github.com/giacomov/pyggop,True,True,411,True,False,False,False,False,True,False
github.com/gieseke/speedynn,True,True,1372,True,False,False,False,True,True,False
github.com/gijsmulders/epos,True,True,1460,True,False,True,True,False,True,False
github.com/gnarayan/wddata,True,True,2663,False,False,False,True,False,False,False
github.com/gnarayan/wdmodel,True,True,3113,False,True,True,True,False,True,False
github.com/gogrean/pyxel,True,True,748,True,False,False,False,True,True,False
github.com/granttremblay/tremblay_,False,False,False,False,False,False,False,False,False,False
github.com/gregreen/dustmaps,True,True,3904,True,False,True,True,False,True,False
github.com/grinsted/wavelet-coherence,True,True,923,False,False,True,True,False,False,False
github.com/grzeimann/panacea,True,True,11526,False,False,False,False,False,False,False
github.com/guangtunbenzhu/nonnegmfpy,True,True,5838,True,False,False,False,False,True,False
github.com/guille-c/labeling,False,False,False,False,False,False,False,False,False,False
github.com/guillochon/mosfit,True,True,2413,True,True,True,True,False,True,False
github.com/guillochon/mosﬁt,False,False,False,False,False,False,False,False,False,False
github.com/gummiks/diffuser-assisted-k2-followup,True,True,3553,False,False,False,True,False,False,False
github.com/h-e-l-p/xid_plus,True,True,368,False,False,True,False,False,True,False
github.com/hamogu/cepheids,True,True,81,False,False,False,False,False,False,False
github.com/hamogu/recollimationxrayctts,True,True,44,False,False,False,False,False,False,False
github.com/hannorein/open_exoplanet_catalogue,True,True,14146,True,True,False,False,False,False,False
github.com/hannorein/rebound,True,True,4084,True,True,True,True,True,True,False
github.com/harmscho/nutausim,True,True,2676,False,False,False,False,True,False,False
github.com/healpy/healpy,True,True,7327,True,True,True,True,False,True,False
github.com/herjy/slit,True,True,2749,True,False,False,False,True,True,False
github.com/hips/autograd,True,True,4032,True,True,True,False,True,True,False
github.com/hoiting/lzifu,True,True,1616,False,False,False,False,True,False,False
github.com/hpparvi/k2ps,True,False,False,False,False,False,False,False,True,False
github.com/hpparvi/ldtk,True,True,6410,True,False,True,False,True,True,False
github.com/hpparvi/pybls,True,True,868,True,False,False,False,False,True,False
github.com/hpparvi/pyde,True,True,2087,True,False,True,False,True,True,False
github.com/hpparvi/pytransit,True,True,15394,False,True,True,False,True,True,False
github.com/hubailmm/k-s_1d_swept,True,False,False,False,False,False,False,False,False,False
github.com/hyperion-rt/bhmie,True,True,3453,True,False,False,False,True,False,False
github.com/ianan/demreg,True,True,471,False,False,False,True,False,False,False
github.com/iancrossﬁeld/jwstprep,False,False,False,False,False,False,False,False,False,False
github.com/iancze/diskjockey,True,True,4915,True,True,True,False,True,False,False
github.com/iancze/scottiepippen,True,True,1250,True,False,False,False,False,True,False
github.com/iancze/starfish,True,True,5096,True,True,True,False,False,True,False
github.com/ibackus/diskpy,True,True,126,False,False,False,True,True,False,False
github.com/icrar/profit,True,True,8445,True,True,False,False,True,False,False
github.com/igrins/plp,True,True,1988,False,False,False,False,False,False,False
github.com/imcgreer/simqso,True,True,253,False,False,True,True,True,True,False
github.com/iminuit/iminuit,True,True,1560,True,True,True,True,True,True,False
github.com/ishivvers/thekastshiv,True,False,False,False,False,False,False,False,True,False
github.com/ita-solar/rh,True,True,1000,True,False,True,True,False,False,False
github.com/ivastar/clear,True,True,54,False,False,False,False,False,False,False
github.com/ivezic/dusty,True,True,840,False,False,True,False,True,False,False
github.com/ixkael/quicksip,True,True,4999,False,False,False,False,True,False,False
github.com/jakevdp/supersmoother,True,True,2212,True,True,True,True,True,True,False
github.com/jalusk/superbol,True,True,3134,True,False,True,True,False,True,False
github.com/jamesaird/fast,True,True,5930,False,False,False,False,False,False,False
github.com/jarronl/pynrc,True,True,1718,True,False,True,True,True,True,False
github.com/jaymurthy/jude,True,True,219,False,False,False,False,False,False,False
github.com/jcoupon/maskutils,True,True,3064,True,False,False,False,False,False,False
github.com/jcoupon/venice,True,True,12647,True,False,False,False,True,False,False
github.com/jdcphysics/validation,True,True,2426,False,False,False,False,False,False,False
github.com/jdeast/exofastv2,True,True,5863,True,False,False,False,True,False,False
github.com/jefflcoughlin/ephemmatch,True,True,3383,False,False,False,False,False,False,False
github.com/jefflcoughlin/model-shift,True,True,4923,False,False,False,False,False,False,False
github.com/jefflcoughlin/skye,True,True,751,False,False,False,False,False,False,False
