arxiv_id,urls
arXiv:1705.02795,[]
arXiv:1707.02840,['github.com/astroChasqui/q2)']
arXiv:1602.03531,[]
arXiv:1603.03878,[]
arXiv:1612.04851,['github.com/California-Planet-Search/radvel']
arXiv:1601.05413,['github.com/' 'github.com/andycasey/AnniesLasso']
arXiv:1801.02617,"['github.com/demorest/nanopipe' 'github.com/jellis18/PAL2'
 'github.com/jellis18/PTMCMCSampler'
 'github.com/nanograv/11yr_stochastic_analysis'
 'github.com/nanograv/enterprise' 'github.com/nanograv/enterprise:'
 'github.com/stevertaylor/NX01']"
arXiv:1901.05011,"['github.com/dfm/emcee' 'github.com/jlustigy/coronagraph'
 'github.com/jlustigy/samurai']"
arXiv:1805.08247,"['github.com/SixByNine/sigproc' 'github.com/emilieparent/ffaGo'
 'github.com/petigura/FFA' 'github.com/vkond/ffasearch']"
arXiv:1411.1756,"['github.com/' 'github.com/keflavich/' 'github.com/keflavich/FITS_'
 'github.com/keflavich/sdpy' 'github.com/keflavich/w51_singledish_']"
arXiv:1808.07068,['github.com/awmann/M' 'github.com/ernewton/tellrv']
arXiv:1506.03846,['github.com/andrewcumming/crustcool' 'github.com/nworbde/dStar']
arXiv:1612.07321,['github.com/nyusngroup']
arXiv:1802.04276,"['github.com/dgerosa/surrkick,']"
arXiv:1801.00732,['github.com/LCOGT/banzai' 'github.com/ishivvers/TheKastShiv']
arXiv:1511.06403,['github.com/esplint/IRACpm']
arXiv:1810.01228,"['github.com/agabrown/astrometry-inference-tutorials/blob/master/3d-distance/resources/3D_astrometry_inference'
 'github.com/alexji/moog17scat' 'github.com/thibaultmerle/formato']"
arXiv:1605.01612,['github.com/jmeyers314/linmix']
arXiv:1509.07124,"['github.com/nyusngroup/SESNspectraLib'
 'github.com/nyusngroup/SESNtemple),' 'github.com/nyusngroup/SESNtemples,']"
arXiv:1606.01264,"['github.com/OxES/k2sc,' 'github.com/hpparvi/PyTransit,'
 'github.com/hpparvi/k2ps']"
arXiv:1608.08631,['github.com/JALusk/SuperBoL' 'github.com/astropy/specutils']
arXiv:1812.07156,"['github.com/d-giles/KeplerML'
 'github.com/d-giles/KeplerML/blob/master/feature']"
arXiv:1802.08585,['github.com/lynnbwilsoniii/wind']
